delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
1594.8999999999387,1.5948999999999387,-5.1999450000000005,151.2959,-265.942,-0.9927304,-0.02497815,0.1159546,0.02042374,-13.821010000000001,136.0395,-301.85249999999996,0.8361408,0.5120391,-0.09816343,0.170436,16.79401,136.7679,-297.6876,0.7323945,0.6571735,-0.02464151,-0.1763921
1608.099999999922,1.608099999999922,-5.219555,151.3123,-265.92289999999997,-0.992727,-0.0255371,0.1158821,0.02030403,-13.86337,135.9766,-301.7996,0.8366035,0.5090952,-0.1019257,0.1747222,17.19934,137.3322,-298.6917,0.7626848,0.6248873,-0.04394138,-0.160925
1621.1999999999307,1.6211999999999307,-5.237532,151.3214,-265.91360000000003,-0.9927441,-0.02601754,0.1156822,0.01999923,-13.84203,136.0326,-301.7815,0.8374764,0.5086563,-0.1004702,0.1726495,18.09267,137.6733,-300.10560000000004,0.8058653,0.5733074,-0.05217296,-0.1384838
1634.5999999999776,1.6345999999999776,-5.2663210000000005,151.3183,-265.9041,-0.9927338,-0.02628157,0.115707,0.02001685,-13.85702,136.0745,-301.7515,0.8382936,0.5063559,-0.1007674,0.1752529,18.91,137.7473,-300.8408,0.8461367,0.5184991,-0.04419887,-0.1151426
1648.1999999999744,1.6481999999999744,-5.30653,151.3117,-265.89979999999997,-0.9926961,-0.02654294,0.1158317,0.02081145,-13.871030000000001,136.1152,-301.7195,0.8390448,0.5041945,-0.1010417,0.1777138,19.68313,137.8859,-301.57660000000004,0.8798609,0.4648443,-0.03661099,-0.09178416
1661.4999999999327,1.6614999999999327,-5.351555,151.30159999999998,-265.90340000000003,-0.9926479,-0.02680787,0.1159697,0.02196749,-13.91165,136.1655,-301.69480000000004,0.8394288,0.5050676,-0.09990606,0.1740258,19.758,138.3334,-302.1618,0.9166639,0.3862495,-0.05141923,-0.08885133
1675.299999999993,1.675299999999993,-5.395818,151.3084,-265.9116,-0.9926276,-0.02693252,0.1160655,0.0222225,-13.97394,136.1486,-301.64390000000003,0.8390405,0.5053316,-0.1024258,0.1736663,19.80665,138.4657,-302.4181,0.9383382,0.3232813,-0.0710043,-0.09984516
1689.0999999999394,1.6890999999999394,-5.438805,151.3365,-265.9241,-0.9926339,-0.02719875,0.1160738,0.02156302,-14.03304,136.1341,-301.5929,0.8386846,0.5055323,-0.1047949,0.1733878,19.86949,138.63510000000002,-302.7008,0.9549738,0.2613773,-0.08896735,-0.1085903
1703.1999999999243,1.7031999999999243,-5.480981,151.3744,-265.9404,-0.9926616,-0.02811068,0.115881,0.02010796,-14.074710000000001,136.165,-301.58230000000003,0.8378028,0.5075964,-0.1059421,0.1709053,19.82231,138.8989,-302.8629,0.9590158,0.2362855,-0.1028578,-0.1178045
1719.5999999999003,1.7195999999999003,-5.520093,151.38469999999998,-265.95849999999996,-0.992699,-0.02951488,0.1155401,0.01811362,-14.12303,136.1745,-301.5489,0.8377138,0.5073619,-0.1078013,0.1708757,19.66735,139.1583,-302.867,0.9566077,0.2402483,-0.1103294,-0.1225152
1733.199999999897,1.733199999999897,-5.562377000000001,151.3588,-265.9644,-0.9927604,-0.02991462,0.1150926,0.01690413,-14.170150000000001,136.184,-301.51460000000003,0.8376251,0.5071231,-0.109605,0.1708713,19.5328,139.4337,-302.902,0.9548812,0.2415563,-0.1177142,-0.1264749
1745.999999999981,1.745999999999981,-5.601275,151.3177,-265.96860000000004,-0.992828,-0.02950134,0.1147477,0.01598036,-14.212330000000001,136.2009,-301.5298,0.8380082,0.5066099,-0.1112588,0.1694407,19.19726,139.53629999999998,-302.35859999999997,0.9448701,0.2765551,-0.118588,-0.1291306
1759.399999999914,1.759399999999914,-5.6397200000000005,151.2826,-265.9723,-0.9929275,-0.02830944,0.1142826,0.0152672,-14.257819999999999,136.1927,-301.5168,0.8373315,0.507519,-0.1125578,0.1692078,18.91336,139.41140000000001,-301.576,0.9297615,0.3267732,-0.1133648,-0.1261395
1773.0999999999997,1.7730999999999997,-5.674803,151.2766,-265.9818,-0.9930364,-0.02711358,0.113702,0.01467446,-14.30275,136.1857,-301.50190000000003,0.8366941,0.5083483,-0.1138582,0.1690004,18.64979,139.3193,-300.85929999999996,0.9137846,0.3716045,-0.1086521,-0.1228921
1786.6999999999962,1.7866999999999962,-5.702138000000001,151.2872,-265.9927,-0.9931328,-0.02686503,0.1130187,0.01386909,-14.3351,136.2398,-301.5732,0.8375034,0.50753,-0.113103,0.1679553,18.38814,138.9383,-300.1905,0.8887933,0.4266407,-0.09423909,-0.1383581
1800.899999999956,1.800899999999956,-5.729437,151.3069,-266.0084,-0.9932098,-0.02752367,0.1122546,0.01324931,-14.34206,136.1996,-301.5584,0.8377123,0.5068769,-0.1114096,0.1700053,17.88283,138.5447,-299.5139,0.8624648,0.4729631,-0.08880582,-0.1567608
1814.899999999966,1.814899999999966,-5.754316,151.31920000000002,-266.0249,-0.993291,-0.02816999,0.111458,0.01252303,-14.35105,136.1622,-301.54269999999997,0.8378861,0.5062724,-0.1099154,0.1719121,17.404320000000002,138.1882,-298.8728,0.8351659,0.5152403,-0.08359548,-0.1733126
1827.799999999911,1.827799999999911,-5.7800530000000006,151.3171,-266.0401,-0.993367,-0.02866706,0.1107054,0.01202382,-14.33775,136.1597,-301.57250000000005,0.8394748,0.5044632,-0.1077633,0.1708388,17.21143,137.67780000000002,-298.4917,0.8069063,0.5540013,-0.0767594,-0.189981
1841.4999999999964,1.8414999999999964,-5.803764,151.30360000000002,-266.0504,-0.9934404,-0.02865844,0.1100815,0.01170943,-14.39497,136.1413,-301.5573,0.8389895,0.5049707,-0.1089611,0.170964,17.06077,137.2528,-298.0954,0.787307,0.578849,-0.07016638,-0.2003952
1855.5999999999813,1.8555999999999813,-5.813742,151.2866,-266.0566,-0.9935319,-0.02848116,0.1093542,0.01116988,-14.43106,136.18300000000002,-301.559,0.8376247,0.5068189,-0.1103149,0.1713188,16.83915,136.7439,-297.7678,0.767748,0.6032267,-0.07042605,-0.2042568
1869.499999999903,1.869499999999903,-5.816555,151.2748,-266.0645,-0.9936157,-0.02761947,0.1089257,0.0100087,-14.46661,136.2218,-301.5594,0.8363371,0.5085377,-0.1115922,0.171688,16.61719,136.2614,-297.44100000000003,0.7476638,0.6267138,-0.07050884,-0.2079839
1883.0999999998996,1.8830999999998996,-5.816948,151.2837,-266.0646,-0.9936839,-0.02684551,0.1085875,0.00897184,-14.497689999999999,136.2288,-301.5243,0.8341985,0.5108236,-0.1154735,0.1727369,16.62002,135.673,-297.33209999999997,0.7329995,0.6453275,-0.06721646,-0.2043187
1898.0999999999997,1.8980999999999997,-5.841005,151.2836,-266.0786,-0.9937173,-0.02674326,0.108359,0.008317721,-14.513980000000002,136.2328,-301.5262,0.8338109,0.5105024,-0.1189064,0.1732281,16.68897,134.9767,-297.1962,0.7177956,0.6649186,-0.06165612,-0.1971071
1912.2999999999597,1.9122999999999597,-5.842519,151.28459999999998,-266.0904,-0.9937183,-0.02706214,0.1082697,0.008315761,-14.53102,136.2372,-301.5273,0.8334028,0.5102336,-0.1221607,0.1737189,16.7409,134.3077,-297.0496,0.7018497,0.6840709,-0.0563435,-0.1904711
1926.499999999919,1.926499999999919,-5.837059,151.2902,-266.0976,-0.9937316,-0.02716438,0.1081049,0.008537643,-14.537410000000001,136.1435,-301.4768,0.8331132,0.5094676,-0.1243647,0.1757796,16.77945,133.93269999999998,-296.6722,0.6984533,0.6904145,-0.05141917,-0.1812367
1939.6999999999025,1.9396999999999025,-5.824590000000001,151.29649999999998,-266.1006,-0.9937407,-0.02711277,0.1080416,0.008454731,-14.48431,136.1354,-301.52860000000004,0.8344845,0.5086846,-0.1220445,0.1731495,16.81624,133.6421,-296.4192,0.7015383,0.6880493,-0.04751113,-0.1793731
1953.800000000001,1.953800000000001,-5.809736,151.30349999999999,-266.1042,-0.9937358,-0.02725041,0.1080464,0.008519745,-14.43592,136.12820000000002,-301.5769,0.835721,0.5079619,-0.1199893,0.1707272,16.84418,133.34459999999999,-296.1666,0.7032055,0.6870649,-0.04367408,-0.1775853
1967.7999999998972,1.9677999999998972,-5.79778,151.3141,-266.1081,-0.9937181,-0.02755366,0.1081029,0.008875712,-14.428279999999999,136.1184,-301.5194,0.8361908,0.5069234,-0.120685,0.1710223,16.90786,133.1553,-296.2729,0.7059637,0.6838698,-0.0409914,-0.1796027
